Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,751.95,88.05,-0.2738770662229502,2.9445624343321537,-2.3668409986295105,77.66,5.86,-12.74,54.93,50.04,108.42
0.0005,751.94,88.05,-0.27478463743398723,2.9446846073797928,-2.366596652534231,77.66,5.87,-12.74,54.92,50.0,108.42
0.001,751.98,88.07,-0.27635543376078214,2.9441261020191547,-2.3707156295689376,77.66,5.83,-12.76,54.87,49.9,108.41
0.0015,751.94,88.07,-0.2802126114076896,2.944108648726635,-2.3818508301966617,77.66,5.87,-12.76,54.71,49.65,108.41
0.002,751.94,88.09,-0.27897342763877364,2.943672316413636,-2.3765624825631186,77.66,5.88,-12.78,54.79,49.8,108.42
0.0025,751.96,88.08,-0.2808932898159674,2.9436374098285962,-2.3846259037073323,77.66,5.86,-12.77,54.64,49.52,108.45
0.003,751.95,88.1,-0.27598891461786335,2.9434279703183566,-2.3687783140992242,77.66,5.86,-12.79,54.87,49.94,108.46
0.0035,751.95,88.12,-0.2766521397336212,2.9430090912978786,-2.3761959634201997,77.66,5.87,-12.8,54.72,49.7,108.43
0.004,751.98,88.12,-0.27977627909469105,2.942886918250239,-2.3793899159513496,77.66,5.84,-12.81,54.73,49.67,108.45
0.0045,751.97,88.11,-0.28009043836005,2.9431312643455176,-2.378639424372992,77.66,5.84,-12.8,54.79,49.75,108.46
0.005,751.95,88.15,-0.27902578751633345,2.9425203991073197,-2.3747298868485247,77.66,5.86,-12.84,54.81,49.82,108.45
0.0055,751.96,88.14,-0.2773677247269388,2.9427298386175593,-2.3754454718418425,77.66,5.85,-12.83,54.78,49.77,108.46
0.006,752.02,88.14,-0.2784498288631753,2.94255530569236,-2.3711868684669763,77.66,5.8,-12.83,54.85,49.88,108.46
0.0065,751.97,88.17,-0.2765474199785015,2.942153879964401,-2.3698080583579006,77.66,5.84,-12.85,54.9,49.91,108.5
0.007,752.0,88.16,-0.28211502029236346,2.942206239841961,-2.3849924228502513,77.66,5.81,-12.85,54.62,49.51,108.46
