Time,xPosition5,yPosition5,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,890.53,257.76,-0.22055725757452344,3.063716062365806,-2.118759898751036,53.5,17.54,-23.72,71.53,71.79,181.39
0.0005,890.54,257.78,-0.2211506695202015,3.0633844498079275,-2.118882071798676,53.5,17.5,-23.73,71.5,71.75,181.39
0.001,890.52,257.77,-0.22170917488083966,3.063419356392967,-2.120400508247911,53.5,17.48,-23.72,71.52,71.73,181.41
0.0015,890.52,257.78,-0.22200588085367873,3.063471716270527,-2.120051442397512,53.5,17.46,-23.72,71.47,71.68,181.43
0.002,890.51,257.79,-0.22258183950683685,3.063332089930367,-2.119527843621914,53.5,17.46,-23.7,71.38,71.62,181.42
0.0025,890.49,257.79,-0.22279127901707618,3.063454262978007,-2.1189518849687556,53.5,17.44,-23.71,71.37,71.6,181.42
0.003,890.5,257.81,-0.22343705084031407,3.0632797300528076,-2.118218846682918,53.5,17.42,-23.71,71.31,71.54,181.42
0.0035,890.19,257.85,-0.22389083644583258,3.063244823467768,-2.1170494760840817,53.5,17.71,-23.75,71.25,71.48,181.4
0.004,890.46,257.82,-0.22406536937103202,3.063436809685487,-2.1167876766962825,53.5,17.44,-23.72,71.19,71.46,181.42
0.0045,890.46,257.83,-0.22471114119426994,3.0632971833453277,-2.112180007471018,53.5,17.41,-23.73,71.12,71.47,181.41
0.005,890.09,257.89,-0.22504275375214886,3.0629830240799687,-2.113227205022214,53.5,17.75,-23.76,71.08,71.39,181.41
0.0055,890.09,257.91,-0.2253918196025477,3.0630179306650085,-2.1132621116072543,53.5,17.74,-23.77,71.05,71.39,181.39
0.006,890.07,257.92,-0.22628193752106482,3.0632971833453277,-2.113995149893092,53.5,17.72,-23.78,71.05,71.34,181.37
0.0065,890.06,257.93,-0.2268753494667429,3.063035383957528,-2.1171891024242413,53.5,17.7,-23.8,71.01,71.25,181.37
0.007,890.0,257.96,-0.22771310750770019,3.062721224692169,-2.1165258773084834,53.5,17.73,-23.8,70.95,71.2,181.21
0.0075,890.0,257.96,-0.2275560278750207,3.0626514115220895,-2.1159150120702854,53.5,17.74,-23.8,70.89,71.14,181.15
0.008,889.98,257.97,-0.2279574536029794,3.0627735845697295,-2.115775385730126,53.5,17.74,-23.79,70.85,71.12,181.15
0.0085,889.95,257.98,-0.2285683188411774,3.06258159835201,-2.115688119267526,53.5,17.74,-23.79,70.79,71.07,181.09
0.009,889.94,257.99,-0.22883011822897656,3.0624768785968906,-2.1160197318254053,53.5,17.71,-23.81,70.76,71.01,181.05
0.0095,889.91,258.0,-0.22923154395693524,3.062337252256731,-2.115112160614368,53.5,17.75,-23.8,70.67,70.96,181.09
0.01,889.89,258.01,-0.22940607688213469,3.062319798964211,-2.118253753267958,53.5,17.73,-23.83,70.71,70.93,181.1
0.0105,889.87,258.01,-0.22984240919513327,3.0621452660390114,-2.1186377257033966,53.5,17.72,-23.82,70.67,70.86,181.08
0.011,889.86,258.02,-0.2307150738211304,3.0619707331138115,-2.118218846682918,53.5,17.72,-23.81,70.63,70.86,181.11
0.0115,889.85,258.03,-0.2307325271136504,3.062023092991372,-2.1177476077848794,53.5,17.69,-23.81,70.59,70.8,181.1
0.012,889.85,258.06,-0.2313957522294082,3.0617962001886125,-2.1147630947639695,53.5,17.68,-23.81,70.53,70.8,181.07
0.0125,889.81,258.06,-0.23212879051524585,3.061813653481132,-2.1138729768454523,53.5,17.68,-23.8,70.47,70.77,181.09
0.013,889.8,258.08,-0.2325651228282444,3.061708933726013,-2.113035218804495,53.5,17.64,-23.81,70.42,70.69,181.1
0.0135,889.77,258.08,-0.2334028808692017,3.061866013358692,-2.112354540396217,53.5,17.66,-23.8,70.34,70.67,181.1
0.014,889.78,258.11,-0.23485150414835698,3.0616740271409726,-2.1116215021103795,53.5,17.6,-23.8,70.26,70.59,181.11
0.0145,889.76,258.13,-0.2350260370735564,3.061813653481132,-2.1106615710217826,53.5,17.59,-23.82,70.18,70.52,181.12
0.015,889.74,258.15,-0.23630012742751227,3.0613773211681337,-2.110521944681623,53.5,17.54,-23.82,70.16,70.52,181.14
0.0155,889.72,258.16,-0.23717279205350944,3.0615169475082933,-2.1113247961375405,53.5,17.52,-23.8,70.14,70.48,181.14
0.016,889.7,258.2,-0.23801055009446673,3.061394774460654,-2.1106964776068224,53.5,17.5,-23.82,70.12,70.43,181.11
0.0165,889.67,258.22,-0.23904029435314336,3.061342414583094,-2.112092741008418,53.5,17.44,-23.83,70.11,70.45,181.13
0.017,889.65,258.26,-0.24024457153701947,3.0609584421476552,-2.112092741008418,53.5,17.41,-23.84,70.11,70.44,181.05
0.0175,889.59,258.3,-0.24172810140121465,3.060731549344896,-2.112965405634415,53.5,17.42,-23.88,70.11,70.39,181.02
0.018,889.56,258.35,-0.2417979145712944,3.060330123616937,-2.1135588175800932,53.5,17.36,-23.9,70.08,70.31,180.97
0.0185,889.48,258.4,-0.25293311519901823,3.0599810577665387,-2.113663537335213,53.5,17.4,-23.94,70.07,70.36,180.87
0.019,889.47,258.45,-0.2532647277568971,3.059876338011419,-2.1146932815938895,53.5,17.34,-23.95,70.05,70.33,180.87
0.0195,889.45,258.51,-0.25481807079117214,3.0593352859433005,-2.115845198900206,53.5,17.3,-23.99,70.05,70.31,180.88
0.02,889.37,258.56,-0.25577800187976896,3.059073486555501,-2.1177476077848794,53.5,17.32,-24.01,70.03,70.26,180.88
0.0205,889.34,258.62,-0.2573662514990838,3.058602247657463,-2.1177301544923597,53.5,17.31,-24.02,69.99,70.23,180.86
0.021,889.28,258.67,-0.25780258381208243,3.0583579015621836,-2.118515552655757,53.5,17.3,-24.02,69.97,70.21,180.84
0.0215,889.19,258.74,-0.25923375379871777,3.0577121297389454,-2.1189693382612758,53.5,17.3,-24.05,69.97,70.21,180.83
0.022,889.06,258.85,-0.26122342914599134,3.0569267315755484,-2.1192660442341147,53.5,17.35,-24.12,69.95,70.16,180.81
0.0225,888.99,258.96,-0.2621833602345882,3.0559842537794712,-2.1184806460707173,53.5,17.36,-24.18,69.93,70.17,180.81
0.023,888.89,259.04,-0.26321310449326485,3.0554955615889132,-2.118306113145518,53.5,17.38,-24.2,69.89,70.13,180.8
0.0235,888.86,259.14,-0.26497588703777913,3.0544134574526765,-2.1180094071726785,53.5,17.31,-24.25,69.85,70.12,180.77
0.024,888.77,259.24,-0.26703537555513246,3.0533837131939996,-2.1175730748596804,53.5,17.28,-24.26,69.79,70.09,180.7
0.0245,888.67,259.35,-0.269932622113443,3.0522317958876832,-2.1181141269277983,53.5,17.23,-24.27,69.74,70.04,180.61
0.025,888.63,259.46,-0.2720444705083561,3.0510798785813673,-2.1175207149821205,53.5,17.16,-24.29,69.7,70.06,180.56
0.0255,888.56,259.59,-0.27518606316194594,3.049613802009692,-2.1180792203427585,53.5,17.13,-24.3,69.62,69.98,180.55
0.026,888.46,259.72,-0.27797858996513686,3.048392071533296,-2.1184108329006377,53.5,17.1,-24.32,69.57,69.95,180.51
0.0265,888.37,259.89,-0.2806140371356483,3.0466467422813017,-2.1180443137577187,53.5,17.07,-24.37,69.51,69.91,180.56
0.027,888.3,260.04,-0.28347637710891904,3.0453901052198655,-2.118864618506156,53.5,16.94,-24.46,69.54,69.92,180.62
0.0275,888.17,260.2,-0.28605946440187063,3.043435336457632,-2.1188995250911957,53.5,16.91,-24.53,69.56,69.91,180.68
0.028,887.96,260.38,-0.2895326696133393,3.0417772736682376,-2.1195976567919934,53.5,16.95,-24.58,69.56,69.9,180.47
0.0285,887.79,260.58,-0.2939308993283651,3.039752691735924,-2.1213429860439876,53.5,16.93,-24.63,69.54,69.9,180.47
0.029,887.62,260.82,-0.2993239667170275,3.037396497245732,-2.1243798589424583,53.5,16.82,-24.7,69.56,69.86,180.5
0.0295,887.5,261.05,-0.30473448739820996,3.035249742265779,-2.125269976860975,53.5,16.68,-24.74,69.53,69.85,180.57
0.03,887.29,261.3,-0.3091152638207157,3.0327713747279463,-2.123175581758582,53.5,16.71,-24.8,69.42,69.85,180.6
0.0305,887.11,261.55,-0.3143337982841788,3.0304500868227944,-2.119754736424673,53.5,16.59,-24.89,69.37,69.82,180.43
0.031,886.69,261.92,-0.32070425005395803,3.0273259474617245,-2.1232628482211817,53.5,16.71,-25.02,69.54,69.93,180.43
0.0315,886.51,262.22,-0.327493580844216,3.0248650332164124,-2.125584136126334,53.5,16.5,-25.08,69.66,69.94,180.52
0.032,886.23,262.57,-0.3341258320017944,3.0217059872703027,-2.1290398880452828,53.5,16.41,-25.18,69.81,69.99,180.37
0.0325,885.89,262.98,-0.3433760770373644,3.018581847909233,-2.1282195832968456,53.5,16.43,-25.29,69.72,70.01,180.51
0.033,885.5,263.37,-0.3566754859375612,3.0155275217182425,-2.126003015146813,53.5,16.33,-25.37,69.66,70.08,180.6
0.0335,885.18,263.77,-0.3643025747687764,3.012508102112293,-2.122617076397944,53.5,16.26,-25.46,69.62,70.2,180.35
0.034,884.64,264.31,-0.3716329576271526,3.0088429106831045,-2.1281672234192857,53.5,16.35,-25.62,69.86,70.38,180.57
0.0345,884.28,264.78,-0.38227946606431795,3.005247532423996,-2.1322338405764327,53.5,16.1,-25.68,69.99,70.46,180.4
0.035,883.71,265.38,-0.3955614216719949,3.001320541607009,-2.1346773015292246,53.5,15.67,-26.11,70.35,70.44,180.48
0.0355,883.15,265.97,-0.40790089948359476,2.9974808172526215,-2.1374523750398957,53.5,15.51,-26.17,70.28,70.43,180.46
0.036,882.5,266.6,-0.4242720878673016,2.9934665599730343,-2.143770466932115,53.5,15.33,-26.09,70.11,70.39,180.32
0.0365,881.91,267.29,-0.441062155271487,2.988928703917849,-2.158204339846108,53.5,14.79,-26.26,70.5,70.26,180.6
0.037,881.22,268.03,-0.4517086637086524,2.9842163149374645,-2.164086099425329,53.5,14.91,-26.32,70.57,70.47,180.48
0.0375,880.49,268.78,-0.46989499451443334,2.979626099004719,-2.1710325098482666,53.5,14.46,-26.41,70.81,70.59,180.45
0.038,879.72,269.62,-0.4861091032654607,2.974582097466456,-2.177647307713325,53.5,14.48,-26.53,70.66,70.53,180.38
0.0385,878.86,270.52,-0.5012411078802516,2.9691017636151935,-2.183162548149627,53.5,14.33,-26.91,70.93,70.59,180.42
0.039,877.95,271.46,-0.5201953835569099,2.9639181357367703,-2.1909467166135217,53.5,14.33,-26.95,70.76,70.62,180.46
0.0395,876.99,272.44,-0.5392718322812079,2.9587868677359075,-2.1993068437305747,53.5,14.27,-26.97,70.77,70.8,180.47
0.04,875.98,273.5,-0.5578944953999875,2.952678215353927,-2.205398042820035,53.5,14.21,-27.07,70.91,71.13,180.4
0.0405,874.92,274.6,-0.5809328415263125,2.947093161747545,-2.2125538927532116,53.5,14.13,-27.21,70.64,71.08,180.42
0.041,873.79,275.77,-0.6054547175168329,2.940984509365565,-2.2282618560211604,53.5,13.63,-27.42,71.27,71.27,180.5
0.0415,872.57,277.03,-0.6268873607313232,2.934491884548146,-2.2331138713417045,53.5,13.56,-27.75,71.41,71.47,180.32
0.042,871.24,278.39,-0.6535210851167568,2.9276152872952887,-2.248682208269494,53.5,13.37,-27.87,71.7,71.64,180.45
0.0425,869.94,279.74,-0.6859842092038513,2.92089576967511,-2.263220800938607,53.5,12.63,-27.89,72.15,71.8,180.45
0.043,868.57,281.23,-0.711291483357769,2.9131465077962555,-2.2707431700147027,53.5,12.36,-28.34,72.46,72.01,180.48
0.0435,867.08,282.77,-0.7474721587516114,2.905728858475279,-2.2960329908761,53.5,12.1,-28.03,72.58,71.96,180.51
0.044,865.53,284.45,-0.7751530806882415,2.897525810990906,-2.3148476402125993,53.5,12.22,-28.39,72.85,71.7,180.43
