Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,655.14,208.57,-0.14852751934471745,3.054378550867636,-2.543607945271496,84.65,29.08,-23.88,106.55,112.92,243.38
0.0005,655.13,208.62,-0.14896385165771603,3.0541167514798375,-2.544515516482533,84.65,29.09,-23.94,106.5,112.88,243.39
0.001,655.15,208.62,-0.14920819775299524,3.0538549520920384,-2.5452660080608904,84.65,29.07,-23.93,106.53,112.9,243.34
0.0015,655.14,208.64,-0.14880677202503653,3.053732779044399,-2.544026824291975,84.65,29.07,-23.96,106.59,112.98,243.41
0.002,655.14,208.69,-0.14901621153527586,3.053558246119199,-2.5452834613534105,84.65,29.08,-24.0,106.55,112.92,243.39
0.0025,655.16,208.68,-0.14920819775299524,3.0534011664865197,-2.5454929008636498,84.65,29.06,-24.0,106.57,112.94,243.39
0.003,655.19,208.7,-0.1494001839707146,3.052947380881001,-2.5457896068364887,84.65,29.03,-24.01,106.59,112.94,243.45
0.0035,655.18,208.72,-0.149888876161273,3.05324408685384,-2.546592458292406,84.65,29.04,-24.03,106.61,113.01,243.47
0.004,655.21,208.71,-0.14964453006599382,3.052964834173521,-2.546732084632566,84.65,29.01,-24.03,106.61,112.97,243.46
0.0045,655.19,208.76,-0.14938273067819466,3.0530695539286405,-2.546766991217606,84.65,29.03,-24.07,106.64,113.03,243.39
0.005,655.22,208.75,-0.1496096234809539,3.0528950210034416,-2.5472207768231243,84.65,29.0,-24.06,106.67,113.09,243.41
0.0055,655.22,208.77,-0.15006340908647248,3.0529124742959617,-2.5485472270546397,84.65,29.0,-24.08,106.63,113.02,243.43
0.006,655.23,208.81,-0.14997614262387274,3.052633221615642,-2.5483028809593606,84.65,28.99,-24.12,106.64,113.03,243.44
0.0065,655.24,208.81,-0.1502379420116719,3.0525285018605226,-2.548948652782599,84.65,28.98,-24.12,106.64,113.02,243.43
0.007,655.25,208.82,-0.15002850250143257,3.0525634084455624,-2.549437344973157,84.65,28.97,-24.13,106.64,113.02,243.38
0.0075,655.25,208.86,-0.1499586893313528,3.0525983150306026,-2.549454798265677,84.65,28.97,-24.17,106.68,113.05,243.36
0.008,655.27,208.87,-0.15025539530419182,3.052703034785722,-2.550327462891674,84.65,28.95,-24.19,106.68,113.04,243.33
0.0085,655.28,208.89,-0.1506917276171904,3.052004903084924,-2.550397276061754,84.65,28.94,-24.2,106.72,113.09,243.4
0.009,655.3,208.9,-0.15022048871915195,3.0522317958876832,-2.5502576497215945,84.65,28.92,-24.21,106.72,113.12,243.36
