Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,771.31,123.28,-0.13041100170901632,3.0396828785658445,-2.517270926858902,72.91,27.46,-27.36,101.79,106.98,237.34
0.0005,770.89,123.38,-0.1293638041578197,3.0386531343071677,-2.5027323341897887,72.91,27.89,-27.46,101.41,106.72,237.37
0.001,770.47,123.54,-0.13966124674458627,3.037309230783132,-2.499538381658639,72.91,28.31,-27.63,101.09,106.6,237.72
0.0015,769.99,123.56,-0.13969615332962612,3.0368903517626533,-2.485785187152924,72.91,28.78,-27.64,100.76,106.49,237.75
0.002,769.56,123.75,-0.14425146267733135,3.035145022510659,-2.4769189145527926,72.91,29.21,-27.83,100.44,106.36,238.08
0.0025,769.07,123.76,-0.1454731931537274,3.0349879428779793,-2.4681573617077808,72.91,29.7,-27.84,100.14,106.38,238.12
0.003,768.64,123.94,-0.14711380265060203,3.0332077070409453,-2.4570047077875374,72.91,30.14,-28.02,99.84,106.21,238.48
0.0035,768.13,123.96,-0.1543918256314184,3.0325793885102272,-2.4533220630658295,72.91,30.64,-28.04,99.52,106.03,238.5
0.004,767.67,124.15,-0.1507266342022303,3.0310085921834324,-2.4382424183285982,72.91,31.11,-28.23,99.2,105.91,238.85
0.0045,767.16,124.18,-0.15961036009488144,3.030118474264915,-2.4342630676340513,72.91,31.61,-28.26,98.9,105.8,238.91
0.005,766.69,124.38,-0.16420057602762653,3.0281637055026818,-2.425972753687078,72.91,32.09,-28.47,98.64,105.72,239.24
0.0055,766.15,124.44,-0.16619025137490007,3.027413213924324,-2.41609419012079,72.91,32.62,-28.52,98.4,105.62,239.31
0.006,765.68,124.61,-0.1739918731313147,3.0255282583321703,-2.411277081385286,72.91,33.09,-28.69,98.15,105.55,239.59
0.0065,765.14,124.63,-0.1771683723699444,3.0247777667538127,-2.402079196227276,72.91,33.64,-28.72,97.88,105.42,239.72
0.007,764.66,124.79,-0.17852972918649995,3.023189517134498,-2.390943995599552,72.91,34.12,-28.87,97.65,105.32,239.97
0.0075,764.11,124.83,-0.18411478279288182,3.022177226168341,-2.3836310660336957,72.91,34.67,-28.91,97.5,105.31,240.22
0.008,763.61,125.01,-0.18343410438460403,3.0205889765490266,-2.370663269691378,72.91,35.17,-29.09,97.3,105.27,240.26
0.0085,763.07,125.04,-0.18893189152838616,3.0195592322903497,-2.36378667243852,72.91,35.71,-29.12,97.16,105.28,240.58
0.009,762.54,125.27,-0.19085175370557994,3.017674276698196,-2.3520755131576383,72.91,36.23,-29.35,97.02,105.24,240.58
0.0095,761.99,125.33,-0.19622736780172248,3.016661985732039,-2.3457574212654184,72.91,36.78,-29.41,96.87,105.21,240.86
0.01,761.44,125.56,-0.19861846887695472,3.0144803241670464,-2.3347443936853343,72.91,37.33,-29.64,96.79,105.24,240.88
0.0105,760.9,125.62,-0.20516345357193344,3.013572752956009,-2.3290022604462735,72.91,37.88,-29.7,96.73,105.28,241.2
0.011,760.33,125.75,-0.20935224377671982,3.0115656243162157,-2.321061012349699,72.91,38.44,-29.84,96.67,105.34,241.41
0.0115,759.77,125.87,-0.21083577364091502,3.01018681420714,-2.31151406134129,72.91,39.01,-29.95,96.57,105.34,241.45
0.012,759.17,125.99,-0.21786945052645218,3.0083716717850657,-2.306854032238465,72.91,39.61,-30.07,96.45,105.36,241.76
0.0125,758.58,126.19,-0.22643901715374432,3.006469262900392,-2.3031190276391973,72.91,40.19,-30.27,96.42,105.46,241.86
0.013,757.96,126.33,-0.23394393293731994,3.0042876013353994,-2.298022666223374,72.91,40.82,-30.41,96.33,105.51,242.07
0.0135,757.33,126.56,-0.2404191044622189,3.0017219673349675,-2.2915125881134353,72.91,41.44,-30.64,96.3,105.57,242.34
0.014,756.72,126.69,-0.2435606971158087,2.9996275722325745,-2.2819830903975458,72.91,42.06,-30.77,96.31,105.68,242.38
0.0145,756.05,126.84,-0.24979152254542844,2.9978124298105002,-2.2769565421518023,72.91,42.72,-30.92,96.26,105.73,242.71
0.015,755.38,127.04,-0.2540326726277747,2.995508595197868,-2.2691374671028677,72.91,43.39,-31.12,96.25,105.83,242.83
0.0155,754.72,127.21,-0.25769786405696277,2.993344386925395,-2.261300938761413,72.91,44.06,-31.29,96.31,105.96,242.84
0.016,753.99,127.48,-0.26410322241178197,2.990726393047403,-2.255733338447551,72.91,44.78,-31.56,96.22,105.99,243.13
0.0165,753.27,127.69,-0.27007224845360256,2.988492371604851,-2.2499388453309304,72.91,45.5,-31.77,96.15,106.0,243.44
0.017,752.53,127.91,-0.273632720127671,2.985874377726859,-2.2408631332205595,72.91,46.24,-31.99,96.1,106.04,243.61
0.0175,751.77,128.11,-0.2788338012986141,2.9835356365291865,-2.2340039892602217,72.91,47.01,-32.19,96.04,106.06,243.65
0.018,750.96,128.46,-0.28284805857820106,2.980097337902758,-2.2249806370274112,72.91,47.81,-32.54,95.95,106.04,243.85
0.0185,750.16,128.72,-0.2883807523070231,2.9771826380519277,-2.218051679896994,72.91,48.62,-32.8,95.9,106.09,244.16
0.019,749.3,128.99,-0.2939308993283651,2.9743377513711766,-2.2110354563039767,72.91,49.47,-33.07,95.87,106.13,244.39
0.0195,748.43,129.35,-0.29925415354694773,2.970515480309309,-2.2035479938129208,72.91,50.35,-33.43,95.77,106.09,244.56
0.02,747.53,129.65,-0.30518827300372847,2.9673738876557194,-2.1966888498525834,72.91,51.24,-33.73,95.72,106.13,244.77
0.0205,746.63,129.95,-0.31819097593108625,2.9641101219544894,-2.194891160723029,72.91,52.15,-34.03,95.91,106.39,244.96
0.021,745.67,130.33,-0.32916909692613056,2.960270397600102,-2.190841996858402,72.91,53.11,-34.41,96.0,106.54,245.14
0.0215,744.67,130.7,-0.3385415150093401,2.9564132199531947,-2.1883810826130903,72.91,54.1,-34.78,95.73,106.38,245.37
0.022,743.66,131.06,-0.3469714552964727,2.952957468034246,-2.1824295098637894,72.91,55.12,-35.14,95.68,106.38,245.59
0.0225,742.59,131.52,-0.35915385347539314,2.948943210754659,-2.181347405727553,72.91,56.19,-35.6,95.6,106.36,245.78
0.023,741.49,131.9,-0.36822956558576364,2.9454874588357103,-2.176739736502288,72.91,57.28,-35.98,95.43,106.24,245.98
0.0235,740.35,132.39,-0.3819129469213992,2.9411415889982444,-2.17612887126409,72.91,58.42,-36.47,95.43,106.2,246.13
0.024,739.21,132.78,-0.39409534510031957,2.937598570616696,-2.175186393468013,72.91,59.57,-36.86,95.17,106.11,246.25
0.0245,738.01,133.19,-0.40631264986427995,2.934073005527668,-2.1735283306786184,72.91,60.76,-37.27,94.96,105.99,246.44
0.025,736.76,133.7,-0.41779691634240257,2.93014601471068,-2.1689206614533534,72.91,62.02,-37.78,95.04,106.13,246.66
0.0255,735.47,134.19,-0.4306425396370809,2.9266204496216517,-2.169112647671073,72.91,63.3,-38.27,94.77,105.89,246.85
0.026,734.16,134.73,-0.4434707096392392,2.9228679917298637,-2.1676814776844373,72.91,64.61,-38.81,94.64,105.76,247.0
0.0265,732.8,135.21,-0.45800930230835196,2.919412239810915,-2.1678909171946765,72.91,65.97,-39.3,94.62,105.79,247.17
0.027,731.37,135.82,-0.47029642024239204,2.915624875334087,-2.166180494527722,72.91,67.4,-39.9,94.44,105.64,247.26
0.0275,729.96,136.39,-0.485393518272143,2.9119073240273394,-2.1666866400108007,72.91,68.82,-40.47,94.33,105.42,247.45
0.028,728.44,137.0,-0.49747119669594375,2.908451572108391,-2.1642431790580083,72.91,70.33,-41.08,94.31,105.48,247.55
0.0285,726.92,137.61,-0.5131268000863328,2.9048387405567624,-2.165901241847403,72.91,71.85,-41.69,94.19,105.44,247.73
0.029,725.33,138.26,-0.5270894341022875,2.9014178952228535,-2.1648365910036866,72.91,73.45,-42.34,94.1,105.39,247.75
0.0295,723.7,138.89,-0.543251182975755,2.8983810223243833,-2.1670182525686794,72.91,75.08,-42.97,94.07,105.42,247.97
0.03,722.05,139.58,-0.5582959211279461,2.895396509303473,-2.16680881305844,72.91,76.73,-43.66,94.01,105.22,248.03
0.0305,720.29,140.27,-0.5748590957293723,2.892586529207762,-2.169042834500993,72.91,78.48,-44.35,93.93,105.05,248.06
