Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,627.09,220.76,-0.204988920646734,2.9531843608370054,-2.2906399234874377,85.73,22.74,-28.76,128.82,131.74,264.31
0.0005,627.06,220.79,-0.205913945150291,2.9528178416940865,-2.2909366294602767,85.73,22.77,-28.79,128.83,131.72,264.29
0.001,627.02,220.83,-0.20989329584483807,2.952590948891327,-2.294130581991426,85.73,22.8,-28.83,128.78,131.68,264.26
0.0015,626.99,220.87,-0.21050416108303607,2.952364056088568,-2.293484810168189,85.73,22.83,-28.87,128.71,131.6,264.24
0.002,626.96,220.9,-0.20694368940896765,2.9522418830409287,-2.289086580453163,85.73,22.87,-28.9,128.64,131.53,264.23
0.0025,626.93,220.93,-0.20762436781724547,2.952032443530689,-2.288266275704726,85.73,22.9,-28.93,128.56,131.47,264.24
0.003,626.9,220.98,-0.21130701253895345,2.9518579106054896,-2.291128615677996,85.73,22.93,-28.98,128.52,131.44,264.22
0.0035,626.87,221.01,-0.21130701253895345,2.95173573755785,-2.2902210444669593,85.73,22.96,-29.01,128.47,131.41,264.19
0.004,626.84,221.05,-0.21135937241651329,2.951473938170051,-2.2895229127661616,85.73,22.99,-29.05,128.44,131.38,264.15
0.0045,626.79,221.09,-0.21099285327359452,2.951142325612172,-2.288807327772844,85.73,23.03,-29.09,128.35,131.29,264.2
0.005,626.75,221.14,-0.20586158527273116,2.9509328861019326,-2.2833968070916617,85.73,23.07,-29.14,128.28,131.22,264.18
0.0055,626.71,221.18,-0.20500637393925394,2.9506361801290937,-2.2820878101526656,85.73,23.12,-29.18,128.17,131.14,264.19
0.006,626.66,221.23,-0.2094220569467996,2.950269660986175,-2.2924376126169923,85.73,23.17,-29.23,127.61,130.42,264.17
0.0065,626.6,221.28,-0.21537362969610027,2.949868235258216,-2.2982146524410934,85.73,23.23,-29.28,127.61,130.42,264.15
