Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,661.73,181.92,-0.20734511513692636,3.0113387315134563,-2.402026836349716,105.8,11.17,-17.97,75.8,68.85,162.99
0.0005,661.74,181.91,-0.20727530196684657,3.0113910913910162,-2.4024980752477543,105.8,11.17,-17.96,75.79,68.84,162.98
0.001,661.72,181.91,-0.20741492830700614,3.011373638098496,-2.4025329818327945,105.8,11.18,-17.96,75.78,68.83,162.95
0.0015,661.72,181.91,-0.2076418211097654,3.0112689183433763,-2.4028296878056334,105.8,11.18,-17.95,75.77,68.83,163.01
0.002,661.72,181.9,-0.20795598037512436,3.0111816518807766,-2.4030042207308324,105.8,11.19,-17.95,75.77,68.84,162.97
0.0025,661.72,181.9,-0.20795598037512436,3.0110071189555776,-2.402445715370195,105.8,11.18,-17.95,75.76,68.84,162.92
0.003,661.71,181.9,-0.20772908757236508,3.0109722123705374,-2.402323542322555,105.8,11.19,-17.95,75.76,68.85,162.92
0.0035,661.71,181.88,-0.2080956067152839,3.0109722123705374,-2.4032311135335918,105.8,11.19,-17.93,75.74,68.85,162.89
0.004,661.72,181.92,-0.20823523305544345,3.010466066887459,-2.403074033900913,105.8,11.19,-17.97,75.72,68.83,162.88
0.0045,661.72,181.9,-0.20837485939560302,3.0104835201799793,-2.4028471410981536,105.8,11.19,-17.95,75.72,68.86,162.96
0.005,661.7,181.93,-0.20795598037512436,3.0100646411595005,-2.4027075147579935,105.8,11.2,-17.97,75.72,68.84,162.91
0.0055,661.72,181.91,-0.20854939232080244,3.010012281281941,-2.4034405530438314,105.8,11.19,-17.96,75.72,68.86,162.88
0.006,661.71,181.88,-0.2084097659806429,3.0101170010370604,-2.4036499925540706,105.8,11.2,-17.93,75.69,68.85,162.85
0.0065,661.7,181.9,-0.20854939232080244,3.0097330286016213,-2.40377216560171,105.8,11.2,-17.95,75.67,68.85,162.83
0.007,661.72,181.89,-0.20889845817120128,3.009541042383902,-2.4037372590166703,105.8,11.18,-17.94,75.69,68.88,162.8
0.0075,661.68,181.89,-0.20882864500112153,3.0094014160437426,-2.4040165116969896,105.8,11.23,-17.94,75.65,68.82,162.81
0.008,661.67,181.9,-0.20902063121884093,3.0076211802067085,-2.402620248295394,105.8,11.23,-17.94,75.66,68.84,163.13
0.0085,661.66,181.91,-0.2092649773141201,3.00716739460119,-2.402916954268233,105.8,11.24,-17.96,75.65,68.85,163.17
0.009,661.72,181.9,-0.20905553780388078,3.006870688628351,-2.4023933554926344,105.8,11.19,-17.95,75.65,68.87,163.13
0.0095,661.68,181.92,-0.2090904443889207,3.006486716192912,-2.4025155285402744,105.8,11.23,-17.97,75.64,68.86,163.14
0.01,661.66,181.9,-0.20914280426648052,3.0064343563153524,-2.402672608172954,105.8,11.24,-17.95,75.63,68.86,163.12
0.0105,661.72,181.91,-0.20975366950467852,3.0061201970499933,-2.4033009267036722,105.8,11.19,-17.96,75.62,68.88,163.09
0.011,661.71,181.9,-0.20980602938223836,3.0060329305873936,-2.4034230997513113,105.8,11.19,-17.95,75.6,68.86,163.07
0.0115,661.64,181.89,-0.20975366950467852,3.005910757539754,-2.4033532865812317,105.8,11.26,-17.94,75.6,68.87,163.17
0.012,661.68,181.91,-0.2097885760897184,3.005648958151955,-2.403370739873752,105.8,11.22,-17.95,75.6,68.88,163.1
0.0125,661.67,181.9,-0.20984093596727824,3.005561691689355,-2.4034230997513113,105.8,11.24,-17.95,75.59,68.87,163.12
0.013,661.67,181.92,-0.20999801559995773,3.005264985716516,-2.4037896188942303,105.8,11.23,-17.96,75.57,68.86,163.14
0.0135,661.63,181.9,-0.21013764194011728,3.005299892301556,-2.4040165116969896,105.8,11.27,-17.94,75.56,68.88,163.15
0.014,661.68,181.9,-0.21017254852515715,3.005072999498797,-2.4039466985269096,105.8,11.23,-17.95,75.56,68.9,163.07
0.0145,661.61,181.88,-0.21057397425311586,3.005264985716516,-2.404697190105267,105.8,11.29,-17.93,75.54,68.89,163.1
0.015,661.63,181.89,-0.21036453474287656,3.0050555462062767,-2.404383030839908,105.8,11.28,-17.94,75.54,68.88,163.08
0.0155,661.62,181.89,-0.21099285327359452,3.0048810132810773,-2.4051335224182657,105.8,11.28,-17.94,75.52,68.91,163.07
0.016,661.6,181.88,-0.21060888083815574,3.0049159198661175,-2.4049066296155064,105.8,11.3,-17.93,75.51,68.88,163.06
0.0165,661.59,181.9,-0.21083577364091502,3.0047239336483975,-2.4052556954659057,105.8,11.31,-17.95,75.5,68.89,163.12
