Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,789.76,127.41,-0.21743311821345357,2.9141238921773724,-2.4885428073710747,91.43,4.21,-18.23,59.81,53.33,129.53
0.0005,789.78,127.4,-0.21762510443117294,2.9139493592521726,-2.4888569666364337,91.43,4.19,-18.22,59.81,53.31,129.51
0.001,789.74,127.4,-0.21797417028157184,2.9142809718100517,-2.488595167248635,91.43,4.23,-18.22,59.8,53.33,129.52
0.0015,789.73,127.4,-0.21813124991425129,2.914193705347452,-2.4886649804187146,91.43,4.25,-18.22,59.78,53.32,129.57
0.002,789.72,127.4,-0.21799162357409177,2.914193705347452,-2.489432925289592,91.43,4.25,-18.22,59.77,53.31,129.57
0.0025,789.73,127.38,-0.21799162357409177,2.9144380514427315,-2.4887347935887942,91.43,4.24,-18.2,59.75,53.27,129.52
0.003,789.72,127.39,-0.217921810404012,2.9144031448576913,-2.4889965929765934,91.43,4.25,-18.21,59.74,53.29,129.56
0.0035,789.69,127.38,-0.21797417028157184,2.9144031448576913,-2.4899216174801504,91.43,4.28,-18.2,59.75,53.27,129.56
0.004,789.69,127.36,-0.2185675822272499,2.9149267436332895,-2.4908640952762275,91.43,4.29,-18.18,59.74,53.31,129.56
0.0045,789.68,127.36,-0.21870720856740944,2.91475221070809,-2.4901834168679495,91.43,4.29,-18.18,59.74,53.27,129.52
0.005,789.7,127.37,-0.21835814271701057,2.914612584367931,-2.489677271384871,91.43,4.28,-18.19,59.72,53.25,129.53
0.0055,789.68,127.38,-0.2188642882000889,2.914595131075411,-2.490899001861267,91.43,4.29,-18.2,59.74,53.3,129.58
0.006,789.67,127.37,-0.21910863429536814,2.914595131075411,-2.4910037216163867,91.43,4.3,-18.19,59.71,53.28,129.6
0.0065,789.68,127.35,-0.21940534026820716,2.91475221070809,-2.4910037216163867,91.43,4.29,-18.17,59.71,53.28,129.57
0.007,789.68,127.36,-0.2187246618599294,2.9149267436332895,-2.490619749180948,91.43,4.29,-18.18,59.66,53.24,129.56
0.0075,789.64,127.36,-0.2193006205130875,2.9147173041230503,-2.491038628201427,91.43,4.33,-18.18,59.66,53.22,129.57
0.008,789.63,127.35,-0.2193704336831673,2.91490929034077,-2.4906546557659883,91.43,4.34,-18.17,59.63,53.23,129.6
0.0085,789.66,127.35,-0.21966713965600632,2.9146474909529707,-2.491230614419146,91.43,4.31,-18.18,59.63,53.22,129.59
0.009,789.63,127.35,-0.21980676599616586,2.914612584367931,-2.4910037216163867,91.43,4.34,-18.18,59.63,53.23,129.55
0.0095,789.63,127.34,-0.21999875221388523,2.9146300376604506,-2.491213161126626,91.43,4.34,-18.16,59.62,53.23,129.57
0.01,789.63,127.36,-0.22057471086704336,2.9143333316876117,-2.491893839534904,91.43,4.34,-18.18,59.58,53.17,129.6
0.0105,789.62,127.33,-0.22026055160168437,2.9146474909529707,-2.4922778119703426,91.43,4.35,-18.15,59.61,53.2,129.56
0.011,789.62,127.35,-0.21996384562884536,2.9143158783950915,-2.491335334174266,91.43,4.35,-18.18,59.59,53.2,129.57
0.0115,789.61,127.34,-0.2211157629351616,2.9144205981502114,-2.4921207323376633,91.43,4.36,-18.16,59.6,53.19,129.56
0.012,789.61,127.34,-0.2204699911119237,2.9146300376604506,-2.491893839534904,91.43,4.37,-18.17,59.58,53.21,129.58
0.0125,789.61,127.34,-0.22022564501664452,2.9143682382726515,-2.491632040147105,91.43,4.36,-18.16,59.59,53.22,129.59
0.013,789.57,127.35,-0.22080160366980262,2.9144205981502114,-2.491579680269545,91.43,4.4,-18.17,59.57,53.2,129.59
0.0135,789.58,127.34,-0.2210284964725619,2.9146823975380105,-2.491701853317185,91.43,4.39,-18.16,59.55,53.2,129.55
0.014,789.57,127.35,-0.22090632342492228,2.9142809718100517,-2.4924348916030223,91.43,4.4,-18.18,59.58,53.2,129.6
0.0145,789.54,127.35,-0.2215171886631203,2.9143333316876117,-2.492155638922703,91.43,4.43,-18.17,59.55,53.19,129.58
0.015,789.55,127.34,-0.2212728425678411,2.9146823975380105,-2.492644331113262,91.43,4.43,-18.16,59.54,53.19,129.57
0.0155,789.55,127.35,-0.22174408146587957,2.9143682382726515,-2.492469798188062,91.43,4.43,-18.17,59.54,53.18,129.58
0.016,789.53,127.36,-0.2214822820780804,2.914211158639972,-2.491282974296706,91.43,4.44,-18.18,59.53,53.17,129.59
0.0165,789.52,127.35,-0.22205824073123856,2.9140715322998125,-2.4911433479565464,91.43,4.46,-18.17,59.51,53.18,129.59
0.017,789.51,127.35,-0.22233749341155765,2.913879546082093,-2.491579680269545,91.43,4.47,-18.17,59.5,53.16,129.58
0.0175,789.5,127.33,-0.22233749341155765,2.913827186204533,-2.4908117353986676,91.43,4.48,-18.16,59.48,53.16,129.6
0.018,789.5,127.34,-0.2231228915749551,2.9133559473064947,-2.491090988078987,91.43,4.47,-18.16,59.5,53.2,129.57
0.0185,789.45,127.34,-0.2224771197517172,2.9134781203541342,-2.4903928563781887,91.43,4.52,-18.16,59.48,53.19,129.58
0.019,789.48,127.35,-0.22256438621431693,2.9130243347486156,-2.4895900049222717,91.43,4.5,-18.17,59.46,53.17,129.56
0.0195,789.45,127.32,-0.22284363889463601,2.9131465077962555,-2.4889267798065133,91.43,4.52,-18.14,59.46,53.18,129.54
0.02,789.44,127.34,-0.22322761133007474,2.912692722190737,-2.4888569666364337,91.43,4.53,-18.16,59.45,53.18,129.61
0.0205,789.43,127.34,-0.2233323310851944,2.912692722190737,-2.488403181030915,91.43,4.54,-18.16,59.44,53.2,129.56
0.021,789.43,127.35,-0.22415263583363174,2.912361109632858,-2.4881413816431164,91.43,4.54,-18.17,59.46,53.21,129.59
0.0215,789.42,127.33,-0.2239606496159124,2.912361109632858,-2.4873734367722387,91.43,4.56,-18.15,59.44,53.22,129.56
0.022,789.42,127.34,-0.22366394364307332,2.9122563898777387,-2.4869894643368,91.43,4.56,-18.16,59.44,53.21,129.6
0.0225,789.41,127.32,-0.22355922388795366,2.9125007359730173,-2.4861167997108025,91.43,4.57,-18.14,59.44,53.24,129.58
0.023,789.4,127.33,-0.2236464903505534,2.9119422306123797,-2.4864658655612017,91.43,4.57,-18.15,59.46,53.25,129.59
0.0235,789.38,127.32,-0.2239781029084323,2.9122563898777387,-2.485715373982844,91.43,4.59,-18.15,59.44,53.25,129.58
0.024,789.38,127.34,-0.22399555620095224,2.9118898707348193,-2.4852266817922857,91.43,4.59,-18.16,59.46,53.24,129.6
0.0245,789.37,127.34,-0.22401300949347222,2.9118549641497795,-2.4852266817922857,91.43,4.6,-18.16,59.45,53.26,129.62
0.025,789.38,127.34,-0.22436207534387106,2.911488445006861,-2.485156868622206,91.43,4.59,-18.16,59.44,53.24,129.62
0.0255,789.36,127.34,-0.2249380339970292,2.9115582581769406,-2.4860295332482027,91.43,4.61,-18.16,59.43,53.23,129.6
0.026,789.37,127.35,-0.22474604777930982,2.9112615522041017,-2.4856804673978043,91.43,4.61,-18.17,59.38,53.18,129.6
0.0265,789.37,127.35,-0.2252696465549081,2.9109997528163025,-2.486413505683642,91.43,4.61,-18.17,59.38,53.19,129.61
0.027,789.35,127.35,-0.2261423111809053,2.9107205001359833,-2.486413505683642,91.43,4.62,-18.17,59.34,53.15,129.64
0.0275,789.34,127.35,-0.2258630585005862,2.9106506869659037,-2.486361145806082,91.43,4.63,-18.18,59.29,53.1,129.65
0.028,789.35,127.33,-0.22673572312658336,2.9106855935509435,-2.4877399559151576,91.43,4.63,-18.16,59.26,53.08,129.65
0.0285,789.35,127.36,-0.22661355007894374,2.9100398217277057,-2.4871465439694793,91.43,4.62,-18.18,59.24,53.04,129.67
0.029,789.35,127.35,-0.22718950873210186,2.9100398217277057,-2.488158834935636,91.43,4.62,-18.17,59.22,53.02,129.65
