Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,698.72,108.11,-0.2598446190369158,3.038897480402447,-1.9479270715658314,73.29,32.38,-15.47,78.37,79.26,219.85
0.0005,698.69,108.12,-0.26289894522790586,3.038880027109927,-1.9497596672804252,73.29,32.41,-15.48,78.33,79.24,219.83
0.001,698.68,108.1,-0.2624626129149073,3.039019653450086,-1.947630365592992,73.29,32.42,-15.46,78.3,79.26,219.81
0.0015,698.67,108.08,-0.2623055332822278,3.039141826497726,-1.9465657147492759,73.29,32.43,-15.44,78.31,79.28,219.8
0.002,698.65,108.07,-0.26195646743182893,3.0392290929603254,-1.9445585861094823,73.29,32.45,-15.43,78.37,79.38,219.8
0.0025,698.66,108.03,-0.2621833602345882,3.039508345640645,-1.943773187946085,73.29,32.44,-15.39,78.3,79.33,219.78
0.003,698.71,108.0,-0.258849781363279,3.0396479719808043,-1.9394273181086188,73.29,32.38,-15.36,78.36,79.41,219.77
0.0035,698.75,107.98,-0.2585007155128802,3.039752691735924,-1.9382404942172629,73.29,32.35,-15.34,78.36,79.45,219.75
0.004,698.71,107.97,-0.2585879819754799,3.0398923180760837,-1.9376819888566246,73.29,32.39,-15.34,78.32,79.43,219.72
0.0045,698.71,107.98,-0.25860543526799984,3.039944677953643,-1.9374201894688254,73.29,32.39,-15.34,78.27,79.37,219.69
0.005,698.67,107.99,-0.25874506160815935,3.039909771368604,-1.9363031787475489,73.29,32.43,-15.35,78.29,79.44,219.69
0.0055,698.66,107.96,-0.25911158075107815,3.0401715707564025,-1.935413060829032,73.29,32.44,-15.32,78.28,79.47,219.66
0.006,698.64,107.96,-0.2553940294443302,3.0401715707564025,-1.931084644284086,73.29,32.46,-15.32,78.38,79.59,219.63
0.0065,698.52,107.94,-0.25413739238289434,3.0403461036816024,-1.9294789413722513,73.29,32.58,-15.3,78.29,79.52,219.61
0.007,698.04,108.38,-0.26019368488731465,3.0377281098036106,-1.9321492951278025,73.29,33.06,-15.74,78.31,79.57,219.59
0.0075,698.02,108.22,-0.25956536635659666,3.038705494184727,-1.931765322692364,73.29,33.08,-15.58,78.29,79.58,219.57
0.008,697.98,108.2,-0.2586927017305995,3.038705494184727,-1.9308053916037669,73.29,33.12,-15.57,78.26,79.55,219.54
0.0085,698.38,107.92,-0.25909412745855825,3.040084304293803,-1.9326030807333212,73.29,32.72,-15.28,78.28,79.57,219.54
0.009,697.92,108.18,-0.2626022392550668,3.038688040892208,-1.9337026381620777,73.29,33.18,-15.54,78.24,79.57,219.55
0.0095,697.9,108.17,-0.2630036649830255,3.0387927606473273,-1.9343484099853154,73.29,33.2,-15.53,78.17,79.5,219.54
0.01,698.26,107.92,-0.26375415656138307,3.040136664171363,-1.937263109836146,73.29,32.84,-15.28,78.11,79.44,219.77
0.0105,697.84,108.14,-0.263789063146423,3.0389323869874865,-1.9367395110605476,73.29,33.26,-15.51,78.02,79.36,219.81
0.011,698.16,107.94,-0.26474899423501985,3.040084304293803,-1.9405617821224155,73.29,32.94,-15.3,77.9,79.21,219.84
0.0115,697.95,108.03,-0.265935818126376,3.039508345640645,-1.9439651741638042,73.29,33.15,-15.39,77.68,78.97,219.83
0.012,697.88,108.05,-0.2715034184402379,3.039298906130406,-1.9513653701922602,73.29,33.22,-15.41,77.55,78.8,219.82
0.0125,697.76,108.12,-0.2730393081819929,3.038705494184727,-1.953808831145052,73.29,33.34,-15.49,77.38,78.63,219.8
0.013,697.73,108.1,-0.27385961293043026,3.038827667232367,-1.9547338556486094,73.29,33.37,-15.46,77.23,78.48,219.76
0.0135,697.71,108.08,-0.27345818720247156,3.038897480402447,-1.9532154191993742,73.29,33.38,-15.45,77.3,78.58,219.72
0.014,697.66,108.12,-0.27260297586899435,3.0387927606473273,-1.9487473763142686,73.29,33.43,-15.49,77.45,78.82,219.69
0.0145,697.78,108.04,-0.27180012441307694,3.0392639995453656,-1.9440175340413641,73.29,33.32,-15.4,77.48,78.93,219.66
0.015,697.74,108.04,-0.2713114322225185,3.039176733082766,-1.9426387239322886,73.29,33.36,-15.41,77.31,78.82,219.61
0.0155,697.61,108.02,-0.27078783344692026,3.0393338127154452,-1.9409806611428937,73.29,33.49,-15.39,77.15,78.68,219.55
0.016,697.5,108.03,-0.26975808918824357,3.039106919912686,-1.9390433456731802,73.29,33.6,-15.4,76.99,78.53,219.53
0.0165,697.44,108.03,-0.2741563189032693,3.0390545600351264,-1.9438779077012045,73.29,33.66,-15.39,76.78,78.31,219.57
0.017,697.35,108.04,-0.2748893571891069,3.039002200157567,-1.9459723028035976,73.29,33.75,-15.41,76.66,78.15,219.87
0.0175,697.27,108.04,-0.27974137250965114,3.0390720133276465,-1.9528663533489754,73.29,33.83,-15.4,76.55,77.99,219.82
0.018,697.23,108.02,-0.280718756890768,3.039194186375286,-1.9522031282332173,73.29,33.87,-15.38,76.52,77.99,219.75
0.0185,696.8,108.23,-0.2801253449450899,3.0381295355315694,-1.944349146599243,73.29,34.29,-15.59,76.69,78.24,219.66
0.019,696.73,108.26,-0.3014183618194207,3.03790264272881,-1.9600745631597118,73.29,34.37,-15.63,76.61,78.28,219.62
0.0195,696.57,108.31,-0.30325095753401476,3.0373441373681715,-1.960092016452232,73.29,34.53,-15.67,76.38,78.04,219.54
0.02,696.37,108.29,-0.3075793740789607,3.0372045110280124,-1.9647171389700167,73.29,34.73,-15.65,76.22,77.87,219.83
0.0205,696.37,108.33,-0.31304225463770297,3.0365412859122545,-1.9676492921133673,73.29,34.73,-15.69,76.16,77.92,219.81
0.021,696.14,108.38,-0.31541590242041523,3.036157313476816,-1.961907158874306,73.29,34.96,-15.75,76.29,78.12,219.66
0.0215,695.93,108.44,-0.3196395992102415,3.0352846488508183,-1.956060305880125,73.29,35.17,-15.8,76.19,78.07,219.59
0.022,695.38,108.48,-0.330879519593085,3.0348308632453,-1.9592542584112747,73.29,35.72,-15.85,76.23,77.96,219.86
0.0225,695.17,108.68,-0.3494672761268246,3.0334520531362243,-1.9518191557977786,73.29,35.93,-16.04,75.75,77.59,219.74
0.023,694.69,108.99,-0.3643374813538163,3.0312180316936717,-1.9524474743284967,73.29,36.41,-16.35,75.72,77.61,219.63
0.0235,694.27,109.24,-0.3715980510421127,3.0296472353668773,-1.958783019513236,73.29,36.83,-16.6,75.77,77.54,219.84
0.024,693.79,109.41,-0.37896334048552877,3.0287745707408797,-1.9539833640702515,73.29,37.31,-16.77,75.48,77.4,219.64
0.0245,692.73,109.83,-0.3891211567321358,3.026872161856206,-1.9571947698939212,73.29,38.37,-17.19,75.75,77.79,219.85
0.025,692.39,109.99,-0.3960152072775134,3.0262438433254877,-1.9625354774050237,73.29,38.7,-17.35,75.95,77.99,219.98
0.0255,691.72,110.31,-0.4009719423531773,3.025057019434132,-1.9556763334446863,73.29,39.38,-17.67,75.91,78.17,219.72
0.026,691.13,110.49,-0.4095589622729894,3.024341434440814,-1.9588179260982759,73.29,39.97,-17.86,75.93,78.3,219.82
0.0265,689.87,110.96,-0.4197691383971562,3.0224564788486603,-1.967055880167689,73.29,41.23,-18.32,75.95,78.34,219.92
0.027,689.24,111.26,-0.43003167439888285,3.020746056181706,-1.964961485065296,73.29,41.86,-18.62,75.6,78.2,219.95
0.0275,688.33,111.49,-0.44261549830576197,3.019733765215549,-1.975450913869782,73.29,42.77,-18.86,75.63,78.25,219.95
0.028,687.18,111.95,-0.45465827014452287,3.0171855845076374,-1.9733914253524285,73.29,43.92,-19.32,75.43,78.27,219.92
0.0285,686.13,112.37,-0.46785295928959997,3.014759576847365,-1.9736532247402276,73.29,44.97,-19.74,75.32,78.35,219.87
0.029,684.67,112.9,-0.4828104309791914,3.0117750638264553,-1.974438622903625,73.29,46.43,-20.27,75.42,78.66,219.79
0.0295,683.46,113.33,-0.49408525794707475,3.0092443364110633,-1.975450913869782,73.29,47.64,-20.69,75.47,78.9,219.62
0.03,681.96,113.91,-0.5129348138686135,3.006207463512593,-1.9797618771222079,73.29,49.14,-21.27,75.42,79.11,219.51
0.0305,680.8,114.37,-0.5276828460479657,3.0032054971991626,-1.9790113855438503,73.29,50.29,-21.73,75.25,79.25,219.64
0.031,679.02,114.96,-0.544158754186792,3.0004653302735314,-1.9811406872312833,73.29,52.08,-22.33,75.05,79.36,219.41
0.0315,677.62,115.42,-0.5659753698367211,2.998109135783339,-1.9886456030148592,73.29,53.48,-22.79,74.88,79.49,219.53
0.032,675.68,116.16,-0.5876698124390107,2.9949151832521896,-1.996639210988993,73.29,55.42,-23.52,74.72,79.67,219.54
0.0325,673.72,116.73,-0.610341639422417,2.992628801932077,-2.005575296759204,73.29,57.37,-24.09,74.58,79.85,219.27
0.033,671.83,117.41,-0.6327167604329844,2.989347582938328,-2.011683949141184,73.29,59.27,-24.78,74.47,80.13,219.25
0.0335,669.82,118.14,-0.6573433561786243,2.986310710039858,-2.017897321278284,73.29,61.28,-25.5,74.42,80.6,219.13
0.034,667.64,118.86,-0.682982242890421,2.9838148892095058,-2.0355251467234265,73.29,63.46,-26.22,74.46,81.17,219.04
0.0345,665.13,119.78,-0.7134033317526822,2.980533670215756,-2.0451942707794752,73.29,65.97,-27.14,74.52,81.94,218.86
0.035,663.21,120.35,-0.7465122276630146,2.979015233766521,-2.061356019652943,73.29,67.89,-27.72,74.43,82.6,218.76
0.0355,660.6,121.29,-0.7764795309197572,2.97630997342593,-2.0710076904164714,73.29,70.5,-28.66,74.36,83.31,218.6
0.036,657.9,122.17,-0.8194495371038577,2.974198125031017,-2.0840802065139092,73.29,73.2,-29.53,74.3,84.27,218.57
0.0365,655.13,123.1,-0.8618435846347999,2.9722259029762634,-2.104675091687442,73.29,75.97,-30.46,74.32,84.86,218.15
0.037,652.29,124.02,-0.896924702599886,2.9708819994522275,-2.1180966736352786,73.29,78.81,-31.38,74.27,85.61,217.99
0.0375,649.29,125.04,-0.9323723397078908,2.9691192169077136,-2.1330192387398297,73.29,81.81,-32.4,74.24,86.26,217.67
0.038,646.1,126.1,-0.9767211560010668,2.9679149397238374,-2.154259895736601,73.29,85.0,-33.46,74.02,85.08,217.4
0.0385,642.85,127.18,-1.0166891958717368,2.966501223029722,-2.1722193337396227,73.29,88.25,-34.54,74.04,85.57,217.31
0.039,639.54,128.32,-1.0602177074164754,2.965262039260806,-2.192028820749758,73.29,91.56,-35.68,74.14,86.04,216.92
0.0395,635.71,129.61,-1.1056486278458877,2.96416248183205,-2.2116637748346943,73.29,95.39,-36.97,74.31,86.5,216.42
0.04,632.06,130.89,-1.153924434956051,2.962870938185574,-2.2328346186613857,73.29,99.04,-38.26,74.5,87.19,216.24
0.0405,627.88,132.41,-1.210560369183267,2.960724183205621,-2.2644774380000428,73.29,103.21,-39.78,74.12,87.19,215.88
0.041,624.25,133.66,-1.2602324396950257,2.9601656778449823,-2.2880917427795264,73.29,106.85,-41.03,74.53,87.95,216.07
0.0415,619.78,135.38,-1.3110913340981405,2.9577047635996707,-2.310554130252693,73.29,111.32,-42.74,74.98,88.76,215.73
0.042,615.03,137.1,-1.3712004735368248,2.9561339672728755,-2.3442564381087037,73.29,116.07,-44.46,74.92,89.06,216.17
0.0425,611.31,138.52,-1.4277491413014414,2.9551740361842787,-2.3746426203859246,73.29,119.79,-45.88,75.4,89.88,217.21
0.043,606.24,140.36,-1.4827095594467428,2.9520149902381694,-2.40080510587332,73.29,124.86,-47.73,76.02,90.82,217.15
0.0435,601.33,142.19,-1.539240773918839,2.951037605857052,-2.4307375025450226,73.29,129.77,-49.55,76.76,91.81,213.4
0.044,596.25,144.1,-1.5964352135066933,2.9463950300467476,-2.456411295841859,73.29,134.85,-51.46,77.66,92.84,213.89
0.0445,591.08,146.04,-1.659249613285969,2.9445449810396336,-2.490672109058508,73.29,140.02,-53.4,78.2,93.6,215.47
0.045,585.83,148.0,-1.7183115551734574,2.941787360821482,-2.518981349525856,73.29,145.27,-55.36,79.38,94.89,215.23
0.0455,580.46,150.06,-1.78213824591889,2.9401292980320877,-2.5527709238444665,73.29,150.64,-57.43,80.24,95.74,213.5
0.046,575.0,152.11,-1.8429978769359323,2.938558501705293,-2.5855307539043997,73.29,156.1,-59.47,81.3,96.76,212.44
0.0465,569.53,154.19,-1.9019550990683007,2.9367608125757387,-2.614328686562306,73.29,161.56,-61.55,82.46,97.85,211.2
0.047,563.4,157.07,-1.960947227785709,2.934073005527668,-2.645081387982446,73.29,167.7,-64.44,83.86,99.07,210.82
0.0475,557.78,159.17,-2.021370526489753,2.9332003409016703,-2.6779982976750594,73.29,173.31,-66.53,85.3,100.19,211.47
0.048,552.02,161.35,-2.0827363029898733,2.9318040775000744,-2.7137950006334632,73.29,179.08,-68.71,86.62,101.03,212.1
0.0485,546.73,163.31,-2.1396165833123684,2.930791786533918,-2.7472355091016745,73.29,184.36,-70.68,88.31,101.93,210.62
0.049,541.14,165.38,-2.1916972081918793,2.928435592043726,-2.7782674632021336,73.29,189.96,-72.74,90.48,103.14,210.33
0.0495,535.15,167.75,-2.2408282266355193,2.9259921310909336,-2.8047790145399274,73.29,195.95,-75.11,92.55,103.66,210.08
0.05,530.1,169.41,-2.303258653979357,2.924368974886579,-2.8438569364920805,73.29,201.0,-76.77,94.54,103.38,210.38
0.0505,524.02,171.75,-2.3535764963143535,2.9166720728852837,-2.8672618017613245,73.29,207.08,-79.11,97.71,103.6,209.85
0.051,519.03,173.34,-2.394975706171659,2.9174923776337214,-2.892569075915242,73.29,212.07,-80.71,101.53,103.92,208.8
