Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,652.6,226.2,-0.16090190374135724,2.9057812183528395,-2.0779715541319286,85.29,21.5,-30.29,124.27,132.23,266.56
0.0005,652.61,226.18,-0.1610066234964769,2.9058161249378793,-2.0781286337646083,85.29,21.48,-30.28,124.22,132.21,266.56
0.001,652.62,226.15,-0.16104153008151678,2.905920844692999,-2.0782857133972876,85.29,21.48,-30.25,124.2,132.17,266.56
0.0015,652.6,226.18,-0.16105898337403673,2.90569395189024,-2.0779715541319286,85.29,21.5,-30.28,124.19,132.17,266.56
0.002,652.59,226.22,-0.16114624983663645,2.9054670590874805,-2.0778144744992493,85.29,21.5,-30.32,124.16,132.15,266.57
0.0025,652.58,226.25,-0.16126842288427606,2.9051703531146416,-2.0775352218189305,85.29,21.52,-30.35,124.14,132.15,266.58
0.003,652.58,226.21,-0.16172220848979457,2.9054496057949604,-2.078215900227208,85.29,21.52,-30.3,124.13,132.15,266.56
0.0035,652.57,226.32,-0.16121606300671623,2.9048212872642423,-2.077046529628372,85.29,21.53,-30.42,124.12,132.12,266.55
0.004,652.6,226.19,-0.1617745683673544,2.9054496057949604,-2.0780762738870484,85.29,21.49,-30.29,124.1,132.12,266.57
0.0045,652.58,226.21,-0.16179202165987433,2.9053797926248808,-2.0781460870571284,85.29,21.51,-30.31,124.09,132.11,266.57
0.005,652.59,226.21,-0.16160003544215498,2.905327432747321,-2.077866834376809,85.29,21.51,-30.3,124.07,132.1,266.58
0.0055,652.57,226.27,-0.1618094749523943,2.904978366896922,-2.0778319277917694,85.29,21.53,-30.36,124.05,132.06,266.59
0.006,652.58,226.23,-0.16184438153743416,2.905117993237081,-2.0779715541319286,85.29,21.52,-30.33,124.04,132.06,266.57
0.0065,652.57,226.18,-0.16186183482995412,2.9053797926248808,-2.078215900227208,85.29,21.53,-30.28,124.02,132.05,266.58
0.007,652.56,226.32,-0.16182692824491424,2.904594394461483,-2.077343235601211,85.29,21.54,-30.42,124.02,132.04,266.6
0.0075,652.58,226.21,-0.1620538210476735,2.9051005399445615,-2.0781286337646083,85.29,21.52,-30.31,123.99,132.03,266.58
0.008,652.57,226.27,-0.16226326055791282,2.9047514740941627,-2.078111180472088,85.29,21.53,-30.37,123.98,132.01,266.6
0.0085,652.57,226.25,-0.16224580726539287,2.904803833971722,-2.0780413673020086,85.29,21.53,-30.35,123.96,132.0,266.61
0.009,652.58,226.25,-0.16228071385043277,2.9047340208016426,-2.0781460870571284,85.29,21.52,-30.35,123.94,131.98,266.58
0.0095,652.57,226.27,-0.1623330737279926,2.904716567509123,-2.078198446934688,85.29,21.53,-30.37,123.93,131.96,266.57
0.01,652.57,226.25,-0.16243779348311227,2.9048212872642423,-2.078477699615007,85.29,21.53,-30.35,123.91,131.95,266.58
0.0105,652.57,226.25,-0.16257741982327178,2.904664207631563,-2.0782857133972876,85.29,21.53,-30.35,123.9,131.94,266.59
0.011,652.58,226.24,-0.16259487311579177,2.9047514740941627,-2.0783555265673677,85.29,21.51,-30.33,123.88,131.92,266.6
0.0115,652.57,226.29,-0.16257741982327178,2.9045420345839235,-2.0783031666898077,85.29,21.53,-30.39,123.87,131.91,266.6
0.012,652.59,226.27,-0.16259487311579177,2.904576941168963,-2.0783904331524075,85.29,21.51,-30.37,123.86,131.89,266.61
0.0125,652.58,226.24,-0.16296139225871054,2.9047340208016426,-2.0790012983906054,85.29,21.52,-30.34,123.84,131.88,266.62
0.013,652.59,226.28,-0.16285667250359087,2.9044896747063635,-2.0786696858327267,85.29,21.51,-30.37,123.83,131.88,266.63
0.0135,652.59,226.26,-0.16283921921107095,2.9045245812914033,-2.078774405587846,85.29,21.51,-30.36,123.82,131.86,266.62
0.014,652.61,226.26,-0.16262977970083162,2.9044896747063635,-2.078512606200047,85.29,21.49,-30.36,123.82,131.87,266.65
0.0145,652.6,226.24,-0.1626472329933516,2.9045594878764436,-2.078564966077607,85.29,21.5,-30.34,123.81,131.85,266.63
