Time,xPosition5,yPosition5,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,766.57,255.53,-0.25043729436866635,3.129951307478991,-2.4320814060690585,52.47,18.51,-22.06,75.57,73.36,179.64
0.0005,766.5,255.7,-0.2527585822738188,3.1282234315195168,-2.4317148869261396,52.47,18.55,-22.18,75.42,73.26,179.99
0.001,766.49,255.82,-0.25581290846480886,3.1270889675057205,-2.4362701962738447,52.47,18.47,-22.2,75.37,73.2,179.82
0.0015,766.39,255.94,-0.256703026383326,3.126041769954524,-2.441855249880226,52.47,18.5,-22.25,75.39,73.1,179.82
0.002,766.28,256.12,-0.2591290340435981,3.124418613750169,-2.442937354016463,52.47,18.55,-22.32,75.37,73.1,179.5
0.0025,766.2,256.33,-0.26136305548615085,3.122795457545814,-2.442954807308983,52.47,18.53,-22.42,75.3,73.06,179.45
0.003,766.14,256.51,-0.2644522882621808,3.1209628618312206,-2.443042073771583,52.47,18.51,-22.46,75.19,72.99,179.84
0.0035,765.66,256.76,-0.268082573106329,3.1190604529465467,-2.4431642468192223,52.47,18.86,-22.52,75.06,72.93,179.92
0.004,765.58,256.93,-0.27120671246739886,3.1175420164973118,-2.439830667947913,52.47,18.82,-22.53,74.94,72.97,179.55
0.0045,765.36,257.14,-0.2757445685225841,3.116041033340596,-2.441680716955027,52.47,18.69,-22.62,75.08,72.91,179.51
0.005,765.28,257.36,-0.27871162825097445,3.1143480639661614,-2.4447001365609773,52.47,18.63,-22.71,75.06,72.85,179.37
0.0055,764.85,257.69,-0.28134707542148596,3.1116951635031302,-2.4458171472822534,52.47,18.92,-22.9,75.07,72.78,179.4
0.006,764.66,257.91,-0.28469810758531505,3.110002194128696,-2.446689811908251,52.47,18.97,-22.95,75.02,72.75,179.95
0.0065,764.46,258.19,-0.2901609881440573,3.1079776121963825,-2.444525603635778,52.47,19.03,-22.96,74.55,72.45,179.9
0.007,764.29,258.49,-0.2999522852477455,3.1065115356247075,-2.456812721569818,52.47,18.41,-22.91,75.0,72.39,179.36
0.0075,763.76,258.84,-0.3046472209356102,3.104155341134515,-2.4444208838806585,52.47,18.84,-22.89,74.74,72.58,179.43
0.008,763.53,259.17,-0.30993556856915305,3.10261945139276,-2.4458869604523334,52.47,18.84,-22.91,74.69,72.57,179.88
0.0085,763.28,259.5,-0.3155729820530947,3.1005250562903663,-2.4588373035021314,52.47,18.75,-22.99,74.77,72.28,179.17
0.009,762.75,259.93,-0.32190852723783414,3.097994328874975,-2.451402200888636,52.47,19.09,-23.05,74.44,72.22,179.38
0.0095,762.44,260.33,-0.3290992837560508,3.096161733160381,-2.453775848671348,52.47,18.8,-23.22,74.75,72.28,179.86
