Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,688.75,235.5,-0.18250907988104706,2.8844358416009483,-2.704370222672694,86.52,26.02,-33.11,106.6,116.26,261.12
0.0005,688.81,235.56,-0.18250907988104706,2.883894789532831,-2.7042131430400143,86.52,25.96,-33.17,106.66,116.28,261.12
0.001,688.87,235.6,-0.18259634634364674,2.8835631769749517,-2.7044400358427736,86.52,25.9,-33.21,106.7,116.32,261.12
0.0015,688.93,235.65,-0.1823694535408875,2.883161751246993,-2.704195689747494,86.52,25.85,-33.26,106.72,115.96,261.13
0.002,688.97,235.7,-0.1806415775814131,2.8827254189339944,-2.702171107815181,86.52,25.8,-33.31,106.73,115.92,261.12
0.0025,689.02,235.74,-0.18078120392157265,2.882393806376115,-2.7030437724411778,86.52,25.75,-33.35,106.75,115.89,261.12
0.003,689.05,235.78,-0.1807637506290527,2.8819574740631166,-2.7029390526860584,86.52,25.72,-33.4,106.8,115.91,261.13
0.0035,689.07,235.84,-0.18106045660189177,2.881590954920198,-2.703724450849456,86.52,25.7,-33.45,106.81,115.86,261.11
0.004,689.11,235.88,-0.18118262964953136,2.881206982484759,-2.704300409502614,86.52,25.67,-33.5,106.84,115.84,261.11
0.0045,689.13,235.95,-0.18247417329600715,2.880700837001681,-2.705801392659329,86.52,25.64,-33.56,106.88,115.84,261.11
0.005,689.15,235.99,-0.18268361280624648,2.8804041310288415,-2.706098098632168,86.52,25.62,-33.6,106.92,115.86,261.09
0.0055,689.18,236.05,-0.1830152253641254,2.880037611885923,-2.706412257897527,86.52,25.6,-33.67,106.95,115.87,261.06
0.006,689.21,236.12,-0.18395770316020232,2.879531466402845,-2.707180202768405,86.52,25.57,-33.73,106.97,115.87,261.04
0.0065,689.24,236.18,-0.18432422230312115,2.8788333347020467,-2.7074070955711638,86.52,25.53,-33.8,107.03,115.92,260.98
0.007,689.27,236.25,-0.1847954612011596,2.878466815559128,-2.7078783344692026,86.52,25.5,-33.86,107.04,115.92,260.94
0.0075,689.32,236.31,-0.18463838156848014,2.878082843123689,-2.7074594554487237,86.52,25.46,-33.92,107.06,115.93,260.91
0.008,689.35,236.37,-0.18476055461611973,2.87787340361345,-2.7075816284963636,86.52,25.42,-33.98,107.06,115.91,260.92
0.0085,689.39,236.43,-0.18472564803107983,2.8773847114228914,-2.7072500159384845,86.52,25.38,-34.04,107.07,115.92,260.91
0.009,689.44,236.52,-0.18530160668423798,2.8767563928921733,-2.7074070955711638,86.52,25.33,-34.13,107.07,115.92,260.9
0.0095,689.52,236.65,-0.18549359290195735,2.8756568354634173,-2.7065693375302065,86.52,25.25,-34.26,107.1,115.97,260.9
0.01,689.62,236.8,-0.18606955155511545,2.874347838524421,-2.7060108321695684,86.52,25.16,-34.42,107.15,116.0,260.88
