Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,663.3,122.0,-0.23947662666614195,-3.013066607472931,-2.339893114978718,72.91,28.62,-16.04,96.57,98.58,234.39
0.0005,663.29,122.02,-0.24031438470709923,-3.01324114039813,-2.340050194611397,72.91,28.63,-16.05,96.37,98.41,234.4
0.001,663.27,122.02,-0.2407856236051377,-3.0133807667382895,-2.3399454748562776,72.91,28.65,-16.06,96.27,98.31,234.38
0.0015,663.26,122.02,-0.24108232957797676,-3.013468033200889,-2.339439329373199,72.91,28.67,-16.06,96.23,98.3,234.37
0.002,663.24,122.03,-0.24122195591813628,-3.013607659541049,-2.338671384502322,72.91,28.68,-16.07,96.2,98.28,234.36
0.0025,663.22,122.04,-0.24150120859845536,-3.0137298325886888,-2.3382699587743634,72.91,28.7,-16.08,96.2,98.31,234.36
0.003,663.2,122.03,-0.24144884872089553,-3.0136949260036485,-2.338043065971604,72.91,28.72,-16.06,96.2,98.32,234.34
0.0035,663.19,122.04,-0.2417979145712944,-3.013904365513888,-2.338043065971604,72.91,28.73,-16.08,96.19,98.34,234.34
0.004,663.15,122.03,-0.24192008761893402,-3.0138520056363283,-2.338025612679084,72.91,28.77,-16.06,96.2,98.35,234.34
0.0045,663.14,122.04,-0.2419899007890138,-3.0140265385615277,-2.3376416402436453,72.91,28.78,-16.08,96.21,98.36,234.32
0.005,663.1,122.02,-0.24232151334689273,-3.0140090852690076,-2.337397294148366,72.91,28.82,-16.06,96.2,98.38,234.34
0.0055,663.1,122.01,-0.2427229390748514,-3.0140265385615277,-2.337065681590487,72.91,28.82,-16.05,96.18,98.39,234.33
0.006,663.07,122.01,-0.24329889772800953,-3.0140963517316073,-2.336489722937329,72.91,28.85,-16.05,96.17,98.41,234.34
