Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,806.26,221.51,-0.19720475218283928,-3.0513765845542062,-2.3787965040056713,85.61,33.39,-18.57,120.36,130.96,256.76
0.0005,806.24,221.51,-0.19706512584267977,-3.051428944431766,-2.3785521579103923,85.61,33.41,-18.57,120.34,130.93,256.77
0.001,806.21,221.51,-0.1975363647407182,-3.0512893180916065,-2.378971036930871,85.61,33.43,-18.57,120.32,130.94,256.73
0.0015,806.19,221.54,-0.19750145815567835,-3.0514813043093256,-2.378534704617872,85.61,33.46,-18.6,120.3,130.92,256.74
0.002,806.17,221.54,-0.19744909827811852,-3.051411491139246,-2.3783950782777126,85.61,33.47,-18.6,120.31,130.95,256.72
0.0025,806.16,221.55,-0.19781561742103732,-3.0513591312616866,-2.3785521579103923,85.61,33.49,-18.6,120.29,130.93,256.73
0.003,806.14,221.56,-0.1979726970537168,-3.0514638510168064,-2.378342718400153,85.61,33.51,-18.62,120.28,130.95,256.71
0.0035,806.13,221.55,-0.19778071083599744,-3.0513067713841266,-2.378307811815113,85.61,33.52,-18.61,120.29,130.98,256.7
0.004,806.1,221.58,-0.1976934443733977,-3.051516210894366,-2.3779412926721943,85.61,33.54,-18.64,120.29,130.98,256.71
0.0045,806.08,221.58,-0.19776325754347748,-3.051428944431766,-2.378046012427314,85.61,33.57,-18.64,120.28,130.99,256.73
0.005,806.06,221.6,-0.1979377904686769,-3.0514638510168064,-2.378360171692673,85.61,33.58,-18.66,120.24,130.93,256.69
0.0055,806.04,221.61,-0.19776325754347748,-3.0515511174794057,-2.378011105842274,85.61,33.61,-18.67,120.26,130.99,256.69
0.006,806.02,221.62,-0.19795524376119686,-3.0515860240644455,-2.3781681854749532,85.61,33.62,-18.68,120.23,130.95,256.69
0.0065,806.01,221.63,-0.19778071083599744,-3.0516034773569656,-2.377993652549754,85.61,33.64,-18.69,120.24,130.97,256.65
